player_id,name,season,age,team_id,pos,games,minutes_played,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,obpm,dbpm,bpm,uni_url
jalen-brunson-1,Jalen Brunson,2020-21,24,DAL,PG,68,1697,17.1,.618,.319,.241,1.8,13.1,7.5,21.3,1.0,0.1,10.3,20.2,3.9,1.1,5.1,1.4,-0.9,0.5,https://www.sports-reference.com/cbb/players/jalen-brunson-1.html
devonte-graham-1,Devonte' Graham,2020-21,25,CHO,PG,55,1659,14.6,.552,.713,.236,1.4,8.4,4.8,26.3,1.4,0.4,10.2,21.4,2.5,0.9,3.4,1.6,-1.1,0.5,https://www.sports-reference.com/cbb/players/devonte-graham-1.html
gary-trentjr-1,Gary Trent Jr.,2020-21,22,TOT,SG,58,1802,12.1,.534,.546,.135,1.6,7.7,4.6,6.6,1.5,0.5,4.9,20.9,1.0,0.7,1.7,-0.6,-2.1,-2.7,https://www.sports-reference.com/cbb/players/gary-trentjr-1.html
khyri-thomas-1,Khyri Thomas,2020-21,24,HOU,SG,5,153,21.3,.586,.409,.136,4.7,8.0,6.3,26.9,2.8,3.5,7.9,21.1,0.4,0.1,0.5,2.0,0.3,2.3,https://www.sports-reference.com/cbb/players/khyri-thomas-1.html
jarred-vanderbilt-1,Jarred Vanderbilt,2020-21,21,MIN,PF,64,1139,16.2,.612,.021,.432,10.8,24.7,17.5,9.3,2.7,3.5,15.9,12.3,1.6,1.5,3.1,-1.6,1.0,-0.6,https://www.sports-reference.com/cbb/players/jarred-vanderbilt-1.html
bruce-brown-2,Bruce Brown,2020-21,24,BRK,PG,65,1451,16.1,.604,.139,.277,8.9,17.2,13.3,9.8,1.9,1.7,10.2,15.9,2.8,1.5,4.4,-0.4,0.1,-0.3,https://www.sports-reference.com/cbb/players/bruce-brown-2.html
hamidou-diallo-1,Hamidou Diallo,2020-21,22,TOT,"SF,SG",52,1226,14.3,.541,.174,.426,5.1,18.8,11.9,13.3,1.6,1.7,12.0,22.2,0.3,1.3,1.6,-2.2,-0.1,-2.3,https://www.sports-reference.com/cbb/players/hamidou-diallo-1.html
deanthony-melton-1,De'Anthony Melton,2020-21,22,MEM,PG,52,1045,15.2,.568,.537,.130,3.0,13.4,8.2,17.5,2.7,2.7,13.7,19.5,0.7,1.5,2.2,0.6,1.4,2.0,https://www.sports-reference.com/cbb/players/deanthony-melton-1.html
sviatoslav-mykhailiuk-1,Sviatoslav Mykhailiuk,2020-21,23,TOT,"SF,SG",66,1324,10.4,.529,.621,.099,1.9,11.4,6.6,12.9,1.9,0.8,14.3,20.0,-0.8,1.1,0.3,-1.9,-0.9,-2.8,https://www.sports-reference.com/cbb/players/sviatoslav-mykhailiuk-1.html
keita-bates-diop-1,Keita Bates-Diop,2020-21,25,SAS,SF,30,245,12.0,.518,.254,.313,3.8,17.7,10.6,6.6,2.2,1.7,8.4,14.8,0.1,0.3,0.3,-2.7,0.8,-2.0,https://www.sports-reference.com/cbb/players/keita-bates-diop-1.html
chimezie-metu-1,Chimezie Metu,2020-21,23,SAC,C,36,488,14.5,.571,.207,.240,7.0,18.7,12.7,8.2,1.4,3.1,12.8,20.0,0.3,0.3,0.6,-2.3,-1.7,-3.9,https://www.sports-reference.com/cbb/players/chimezie-metu-1.html
alize-johnson-1,Alize Johnson,2020-21,24,BRK,PF,18,189,23.5,.638,.088,.191,16.6,35.0,26.3,10.9,1.3,2.3,10.9,19.1,0.6,0.3,0.9,2.4,0.2,2.6,https://www.sports-reference.com/cbb/players/alize-johnson-1.html
malik-milton-1,Shake Milton,2020-21,24,PHI,SG,63,1461,14.6,.549,.304,.264,2.5,8.5,5.6,20.3,1.3,1.1,12.2,24.9,1.1,1.6,2.8,-0.9,-1.2,-2.1,https://www.sports-reference.com/cbb/players/malik-milton-1.html
kostas-antetokounmpo-1,Kostas Antetokounmpo,2020-21,23,LAL,PF,15,56,0.0,.382,.000,1.300,8.1,29.9,19.1,2.3,1.7,6.4,41.2,20.7,-0.3,0.1,-0.2,-13.2,0.2,-13.0,https://www.sports-reference.com/cbb/players/kostas-antetokounmpo-1.html
