player,pick rank,year,college,url,height (cm),weight (lb),uni_url,player_id
Otto Porter,3,2013,Georgetown,https://www.basketball-reference.com//players/p/porteot01.html,203.2,198,https://www.sports-reference.com/cbb/players/otto-porter-1.html,otto-porter-1
Cody Zeller,4,2013,Indiana,https://www.basketball-reference.com//players/z/zelleco01.html,210.8,240,https://www.sports-reference.com/cbb/players/cody-zeller-1.html,cody-zeller-1
Alex Len,5,2013,Maryland,https://www.basketball-reference.com//players/l/lenal01.html,213.4,250,https://www.sports-reference.com/cbb/players/alex-len-1.html,alex-len-1
Nerlens Noel,6,2013,Kentucky,https://www.basketball-reference.com//players/n/noelne01.html,210.8,220,https://www.sports-reference.com/cbb/players/nerlens-noel-1.html,nerlens-noel-1
Ben McLemore,7,2013,Kansas,https://www.basketball-reference.com//players/m/mclembe01.html,190.5,195,https://www.sports-reference.com/cbb/players/ben-mclemore-1.html,ben-mclemore-1
Kentavious Caldwell-Pope,8,2013,Georgia,https://www.basketball-reference.com//players/c/caldwke01.html,195.6,204,https://www.sports-reference.com/cbb/players/kentavious-caldwell-pope-1.html,kentavious-caldwell-pope-1
Trey Burke,9,2013,Michigan,https://www.basketball-reference.com//players/b/burketr01.html,182.9,185,https://www.sports-reference.com/cbb/players/trey-burke-1.html,trey-burke-1
CJ McCollum,10,2013,Lehigh,https://www.basketball-reference.com//players/m/mccolcj01.html,190.5,190,https://www.sports-reference.com/cbb/players/cj-mccollum-1.html,cj-mccollum-1
Michael Carter-Williams,11,2013,Syracuse,https://www.basketball-reference.com//players/c/cartemi01.html,195.6,190,https://www.sports-reference.com/cbb/players/michael-carter-williams-1.html,michael-carter-williams-1
Steven Adams,12,2013,Pitt,https://www.basketball-reference.com//players/a/adamsst01.html,210.8,265,https://www.sports-reference.com/cbb/players/steven-adams-1.html,steven-adams-1
Kelly Olynyk,13,2013,Gonzaga,https://www.basketball-reference.com//players/o/olynyke01.html,210.8,240,https://www.sports-reference.com/cbb/players/kelly-olynyk-1.html,kelly-olynyk-1
Shabazz Muhammad,14,2013,UCLA,https://www.basketball-reference.com//players/m/muhamsh01.html,198.1,223,https://www.sports-reference.com/cbb/players/shabazz-muhammad-1.html,shabazz-muhammad-1
Giannis Antetokounmpo,15,2013,,https://www.basketball-reference.com//players/a/antetgi01.html,210.8,242,,
Lucas Nogueira,16,2013,,https://www.basketball-reference.com//players/n/noguelu01.html,213.4,241,,
Dennis Schröder,17,2013,,https://www.basketball-reference.com//players/s/schrode01.html,190.5,172,,
Shane Larkin,18,2013,Miami (FL),https://www.basketball-reference.com//players/l/larkish01.html,180.3,175,https://www.sports-reference.com/cbb/players/shane-larkin-1.html,shane-larkin-1
Sergey Karasev,19,2013,,https://www.basketball-reference.com//players/k/karasse01.html,200.7,208,,
Tony Snell,20,2013,New Mexico,https://www.basketball-reference.com//players/s/snellto01.html,198.1,213,https://www.sports-reference.com/cbb/players/tony-snell-1.html,tony-snell-1
Gorgui Dieng,21,2013,Louisville,https://www.basketball-reference.com//players/d/dienggo01.html,208.3,252,https://www.sports-reference.com/cbb/players/gorgui-dieng-1.html,gorgui-dieng-1
Mason Plumlee,22,2013,Duke,https://www.basketball-reference.com//players/p/plumlma01.html,210.8,254,https://www.sports-reference.com/cbb/players/mason-plumlee-1.html,mason-plumlee-1
Solomon Hill,23,2013,Arizona,https://www.basketball-reference.com//players/h/hillso01.html,198.1,226,https://www.sports-reference.com/cbb/players/solomon-hill-1.html,solomon-hill-1
Tim Hardaway Jr.,24,2013,Michigan,https://www.basketball-reference.com//players/h/hardati02.html,195.6,205,https://www.sports-reference.com/cbb/players/tim-hardaway-jr-1.html,tim-hardaway-jr-1
Reggie Bullock,25,2013,UNC,https://www.basketball-reference.com//players/b/bullore01.html,198.1,205,https://www.sports-reference.com/cbb/players/reggie-bullock-2.html,reggie-bullock-2
Andre Roberson,26,2013,Colorado,https://www.basketball-reference.com//players/r/roberan03.html,200.7,210,https://www.sports-reference.com/cbb/players/andre-roberson-1.html,andre-roberson-1
Rudy Gobert,27,2013,,https://www.basketball-reference.com//players/g/goberru01.html,215.9,258,,
Livio Jean-Charles,28,2013,,https://www.basketball-reference.com//players/j/jeancli01.html,205.7,230,,
Archie Goodwin,29,2013,Kentucky,https://www.basketball-reference.com//players/g/goodwar01.html,195.6,200,https://www.sports-reference.com/cbb/players/archie-goodwin-1.html,archie-goodwin-1
Nemanja Nedović,30,2013,,https://www.basketball-reference.com//players/n/nedovne01.html,190.5,192,,
Allen Crabbe,31,2013,California,https://www.basketball-reference.com//players/c/crabbal01.html,195.6,212,https://www.sports-reference.com/cbb/players/allen-crabbe-1.html,allen-crabbe-1
Álex Abrines,32,2013,,https://www.basketball-reference.com//players/a/abrinal01.html,198.1,200,,
Carrick Felix,33,2013,Arizona State,https://www.basketball-reference.com//players/f/felixca01.html,198.1,201,https://www.sports-reference.com/cbb/players/carrick-felix-1.html,carrick-felix-1
Isaiah Canaan,34,2013,Murray State,https://www.basketball-reference.com//players/c/canaais01.html,182.9,201,https://www.sports-reference.com/cbb/players/isaiah-canaan-1.html,isaiah-canaan-1
Glen Rice Jr.,35,2013,Georgia Tech,https://www.basketball-reference.com//players/r/ricegl02.html,198.1,206,https://www.sports-reference.com/cbb/players/glen-rice-jr-1.html,glen-rice-jr-1
Ray McCallum,36,2013,Detroit Mercy,https://www.basketball-reference.com//players/m/mccalra01.html,190.5,190,https://www.sports-reference.com/cbb/players/ray-mccallum-2.html,ray-mccallum-2
Tony Mitchell,37,2013,University of North Texas,https://www.basketball-reference.com//players/m/mitchto02.html,203.2,235,https://www.sports-reference.com/cbb/players/tony-mitchell-4.html,tony-mitchell-4
Nate Wolters,38,2013,South Dakota State,https://www.basketball-reference.com//players/w/woltena01.html,193.0,190,https://www.sports-reference.com/cbb/players/nate-wolters-1.html,nate-wolters-1
Jeff Withey,39,2013,Kansas,https://www.basketball-reference.com//players/w/witheje01.html,213.4,231,https://www.sports-reference.com/cbb/players/jeff-withey-1.html,jeff-withey-1
Grant Jerrett,40,2013,Arizona,https://www.basketball-reference.com//players/j/jerregr01.html,208.3,235,https://www.sports-reference.com/cbb/players/grant-jerrett-1.html,grant-jerrett-1
Jamaal Franklin,41,2013,San Diego State,https://www.basketball-reference.com//players/f/frankja01.html,195.6,191,https://www.sports-reference.com/cbb/players/jamaal-franklin-1.html,jamaal-franklin-1
Pierre Jackson,42,2013,Baylor,https://www.basketball-reference.com//players/j/jackspi01.html,177.8,180,https://www.sports-reference.com/cbb/players/pierre-jackson-1.html,pierre-jackson-1
Ricky Ledo,43,2013,Providence,https://www.basketball-reference.com//players/l/ledori01.html,200.7,195,,
Mike Muscala,44,2013,Bucknell,https://www.basketball-reference.com//players/m/muscami01.html,208.3,240,https://www.sports-reference.com/cbb/players/mike-muscala-1.html,mike-muscala-1
Marko Todorović,45,2013,,https://www.basketball-reference.com//players/t/todorma01.html,208.3,243,,
Erick Green,46,2013,Virginia Tech,https://www.basketball-reference.com//players/g/greener01.html,193.0,185,https://www.sports-reference.com/cbb/players/erick-green-1.html,erick-green-1
Raul Neto,47,2013,,https://www.basketball-reference.com//players/n/netora01.html,185.4,180,,
Ryan Kelly,48,2013,Duke,https://www.basketball-reference.com//players/k/kellyry01.html,210.8,230,https://www.sports-reference.com/cbb/players/ryan-kelly-3.html,ryan-kelly-3
Erik Murphy,49,2013,Florida,https://www.basketball-reference.com//players/m/murpher01.html,208.3,230,https://www.sports-reference.com/cbb/players/erik-murphy-1.html,erik-murphy-1
James Ennis,50,2013,Cal State Long Beach,https://www.basketball-reference.com//players/e/ennisja01.html,198.1,215,https://www.sports-reference.com/cbb/players/james-ennis-1.html,james-ennis-1
Romero Osby,51,2013,Oklahoma,https://www.basketball-reference.com//players/o/osbyro01.html,203.2,240,https://www.sports-reference.com/cbb/players/romero-osby-1.html,romero-osby-1
Lorenzo Brown,52,2013,NC State,https://www.basketball-reference.com//players/b/brownlo01.html,195.6,189,https://www.sports-reference.com/cbb/players/lorenzo-brown-1.html,lorenzo-brown-1
Colton Iverson,53,2013,Colorado State,https://www.basketball-reference.com//players/i/iversco01.html,213.4,255,https://www.sports-reference.com/cbb/players/colton-iverson-1.html,colton-iverson-1
Arsalan Kazemi,54,2013,Oregon,https://www.basketball-reference.com//players/k/kazemar01.html,200.7,226,https://www.sports-reference.com/cbb/players/arsalan-kazemi-1.html,arsalan-kazemi-1
