position,body_fat_pct,hand_length,hand_width,height_wo_shoes,height_w_shoes,standing_reach,weight,wingspan,player_id
C,9.3,235,235,2076,2121,2845,238.6,2235,myles-turner-1
PF,12.1,235,260,2057,2089,2743,241.2,2172,trey-lyles-1
SG,8.3,222,229,1943,1975,2604,205.8,2038,devin-booker-2
PG,6.3,216,210,1848,1867,2477,182.8,2013,cameron-payne-1
SF,5.7,229,222,1975,2000,2604,202.8,2191,kelly-oubre-1
PG,5.6,210,216,1842,1886,2502,190.2,2038,terry-rozier-1
SG,6.2,203,216,1924,1956,2565,198.6,2007,rashad-vaughn-1
SF,7.5,216,235,2026,2057,2692,218.6,2121,sam-dekker-1
PG,5.6,210,216,1911,1937,2540,198.0,2019,jerian-grant-1
PG,6.6,203,216,1937,1968,2578,181.4,2019,delon-wright-1
SF,5.0,216,241,1962,1988,2565,230.6,2127,justin-anderson-1
PF,8.9,241,235,2070,2096,2756,246.2,2184,bobby-portis-1
SF,5.0,222,248,1968,2007,2642,210.8,2184,rondae-hollis-jefferson-1
PG,6.5,210,222,1842,1880,2464,184.6,1956,tyus-jones-1
PF,10.1,210,241,2032,2064,2705,238.6,2057,jarell-martin-1
PF,6.4,229,248,2019,2045,2743,226.6,2172,larry-nance-2
SG,6.0,216,210,1943,1981,2642,185.0,2096,rj-hunter-1
PF,6.2,222,222,2038,2057,2769,199.0,2216,chris-mccullough-1
PF,11.9,241,235,2032,2064,2794,222.4,2222,kevon-looney-1
PF,11.9,229,248,2007,2019,2769,253.4,2242,montrezl-harrell-1
PF,7.2,222,241,2007,2038,2692,238.0,2216,jordan-mickey-1
SF,6.1,216,229,1975,2013,2654,211.0,2108,anthony-brown-5
PF,9.6,235,229,2038,2076,2807,242.6,2267,rakeem-christmas-1
PF,8.8,216,216,2038,2070,2743,242.8,2172,richaun-holmes-1
SG,10.2,216,235,1930,1962,2438,215.0,2032,pat-connaughton-1
PG,4.3,203,222,1911,1937,2540,185.8,1981,olivier-hanlan-1
PG,5.9,210,235,1943,1968,2540,213.2,2057,andrew-harrison-1
PG,5.3,210,216,1873,1899,2477,177.4,2026,marcus-thornton-3
SG,6.4,235,229,1905,1937,2604,215.4,2102,norman-powell-1
C,14.9,235,267,2108,2127,2845,264.6,2184,dakari-johnson-1
SG,9.2,197,222,1899,1930,2502,181.4,1968,tyler-harvey-1
PF,5.8,229,222,1968,2000,2667,230.2,2108,branden-dawson-1
SF,4.1,203,222,1962,1988,2553,195.8,2083,jp-tokoto-1
SG,5.05,222,229,1962,2000,2604,222.8,2127,jaylen-brown-1
SG,6.1,216,229,1924,1956,2565,212.4,2064,buddy-hield-1
PF,8.5,229,229,2051,2083,2667,233.0,2140,marquese-chriss-1
C,5.8,235,260,2140,2159,2832,239.0,2203,jakob-poeltl-1
SF,6.45,229,216,1994,2026,2591,220.2,2121,taurean-prince-1
SG,9.2,216,248,1930,1975,2591,210.4,2102,denzel-valentine-1
PG,5.2,229,248,1892,1930,2540,201.8,2115,wade-baldwin-1
PF,11.2,216,248,2083,2121,2743,242.0,2191,henry-ellenson-1
SG,6.9,216,229,1918,1943,2553,189.8,2007,malik-beasley-1
SG,7.55,216,235,1975,2007,2565,191.0,2083,caris-levert-1
SG,7.0,203,235,1937,1975,2565,206.6,2064,deandre-bembry-1
SG,7.0,222,254,1949,1988,2578,199.6,2134,malachi-richardson-1
PF,7.5,229,210,2057,2096,2705,208.6,2146,brice-johnson-1
PF,5.2,235,254,2038,2070,2731,226.6,2216,pascal-siakam-1
PF,5.7,222,229,2096,2127,2680,215.8,2197,skal-labissiere-1
