,mp,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,obpm,dbpm,years,position,body_fat_pct,hand_length,hand_width,height_wo_shoes,height_w_shoes,standing_reach,weight,wingspan,3rd_NBA_season
49,372,34.7,0.628,0.58,0.33,0.376,4.0,15.8,24.9,2.7,1.2,12.3,37.2,1.9,0.6,9.0,0.3,4,SG,6.4,218,234,1932,1965,2553,202.6,2056,1
50,1409,20.9,0.491,0.438,0.302,0.472,4.0,12.7,40.1,4.7,1.8,22.2,22.2,2.7,3.5,4.0,5.5,2,PG,4.4,191,216,1949,1975,2565,184.4,2013,1
51,749,23.2,0.555,0.571,0.0,0.4,15.3,21.0,5.4,1.9,11.2,14.4,17.7,1.6,1.9,4.0,4.2,1,C,6.65,241,279,2102,2134,2781,254.5,2248,1
52,845,36.2,0.675,0.642,0.088,0.497,11.8,22.6,15.1,1.6,5.1,15.4,30.7,4.7,1.9,10.4,3.6,3,PF,6.65,216,254,2102,2134,2743,234.0,2076,1
53,987,21.9,0.528,0.487,0.232,0.395,9.9,9.3,5.8,1.3,0.4,8.6,29.8,2.9,0.8,5.8,-1.1,1,SF,9.0,229,254,1949,1988,2654,221.8,2108,1
54,1311,22.6,0.6,0.569,0.445,0.293,1.6,11.4,26.1,3.4,0.3,15.9,21.3,4.3,2.3,5.2,3.8,2,PG,3.8,191,222,1784,1816,2273,170.8,1797,1
55,1093,17.0,0.562,0.516,0.481,0.299,1.6,8.9,22.4,1.6,1.9,15.6,22.8,2.1,1.5,4.1,2.1,3,SF,4.85,229,241,1981,2013,2680,198.2,2121,1
56,1026,23.8,0.562,0.534,0.0,0.479,12.9,23.6,12.3,2.6,9.4,17.0,17.0,2.5,3.2,5.1,6.4,3,C,5.35,229,254,2076,2102,2832,229.6,2222,1
57,1248,26.3,0.628,0.599,0.0,0.688,9.7,25.1,11.5,1.7,4.0,17.4,24.5,4.3,2.6,5.9,3.6,4,C,6.15,248,241,2115,2146,2743,238.2,2108,1
58,1154,20.1,0.579,0.541,0.423,0.359,6.6,13.9,16.8,2.1,1.8,16.0,21.4,3.3,1.8,5.6,2.7,4,SF,7.6,229,267,1968,2007,2616,226.0,2057,1
59,1324,17.7,0.538,0.516,0.424,0.241,0.8,16.3,13.0,1.2,1.4,12.2,23.7,2.8,1.7,3.6,1.8,3,SG,6.05,203,235,1943,1988,2565,199.4,2007,1
60,1100,23.7,0.625,0.607,0.567,0.205,6.7,17.2,16.6,2.2,0.9,9.9,18.5,4.1,1.6,8.1,2.9,3,SG,6.95,216,229,1975,2007,2591,199.8,2051,1
61,1036,21.9,0.524,0.515,0.211,0.356,10.6,29.4,9.4,3.9,4.4,18.7,19.9,1.4,2.9,3.3,4.8,3,PF,7.05,222,241,1988,2007,2654,205.8,2108,1
62,1048,16.9,0.509,0.464,0.179,0.594,5.6,11.2,16.8,2.1,1.4,18.1,27.2,1.6,1.5,1.0,1.1,1,SG,4.55,216,229,1924,1962,2591,189.0,2070,1
63,1195,22.3,0.568,0.528,0.393,0.297,3.3,16.0,16.2,1.9,1.9,13.5,26.6,3.3,1.8,6.0,2.4,3,SG,4.65,210,216,1962,1988,2629,197.4,2115,1
64,1131,25.2,0.576,0.525,0.509,0.371,2.0,10.0,27.6,2.5,0.4,14.3,30.9,4.5,1.3,5.8,0.0,4,PG,5.9,210,241,1803,1829,2400,188.4,1943,1
65,1208,25.7,0.578,0.539,0.298,0.47,4.0,14.3,23.8,3.0,1.8,11.3,24.4,4.7,1.3,6.3,1.1,3,PG,7.3,203,222,1835,1873,2451,191.4,1911,1
66,1256,32.0,0.604,0.549,0.339,0.461,3.7,15.4,34.3,2.8,0.4,11.2,29.8,7.0,1.6,8.3,1.3,4,PG,5.5,210,222,1918,1949,2489,196.4,1924,1
67,1144,27.2,0.621,0.583,0.003,0.604,8.8,22.3,6.2,1.4,13.7,15.1,21.5,3.4,3.2,4.9,6.6,4,C,8.65,229,248,2102,2146,2807,221.8,2184,1
68,1079,35.7,0.575,0.513,0.036,0.509,11.8,31.1,18.5,1.0,7.8,9.5,31.6,5.3,3.0,8.6,3.9,4,C,6.8,216,229,2089,2121,2743,230.2,2159,1
69,664,23.5,0.586,0.535,0.392,0.401,6.9,15.4,11.0,1.4,5.4,8.4,21.4,2.4,1.1,7.2,4.0,4,PF,14.75,229,254,2076,2127,2794,228.0,2121,1
70,1093,25.3,0.616,0.565,0.415,0.407,6.9,17.0,14.4,3.1,4.2,18.3,24.9,3.4,1.4,5.7,1.4,2,SF,4.5,216,222,1975,2007,2654,200.8,2121,1
71,1129,19.9,0.509,0.449,0.228,0.419,2.4,12.3,36.7,3.4,1.6,22.2,22.8,2.3,1.3,3.5,2.0,3,PG,3.95,210,216,1930,1962,2540,189.2,2007,1
72,1148,21.4,0.563,0.499,0.299,0.538,8.4,12.3,9.2,2.1,3.1,13.1,26.3,3.2,1.7,5.7,2.6,1,SF,6.6,223,239,1983,2017,2631,215.5,2111,1
73,1074,28.4,0.558,0.511,0.212,0.429,11.4,23.1,8.6,2.1,4.0,11.9,32.7,3.6,1.9,6.6,1.0,1,PF,8.2,230,245,2043,2074,2720,233.3,2174,1
74,647,28.2,0.655,0.629,0.029,0.836,12.7,27.3,11.5,2.3,11.7,21.6,23.4,1.8,1.7,5.0,6.9,1,C,7.7,232,250,2091,2125,2791,242.7,2213,1
75,1187,20.4,0.503,0.516,0.118,0.471,10.4,19.3,13.0,1.8,3.4,10.5,23.2,2.1,3.3,3.7,4.7,1,PF,5.05,222,267,2019,2051,2667,220.1,2127,1
76,1014,26.9,0.552,0.486,0.425,0.648,5.1,14.9,30.1,5.0,1.9,14.0,29.2,3.1,2.5,6.5,5.5,2,PG,10.55,229,222,1880,1911,2515,227.2,2064,1
77,1233,24.5,0.567,0.505,0.046,0.739,13.3,24.7,10.0,1.0,2.6,16.1,25.4,3.5,2.4,5.4,2.1,1,PF,9.4,222,210,2026,2057,2680,249.7,2134,1
78,1281,22.7,0.642,0.586,0.528,0.518,1.6,8.8,18.8,1.0,0.9,12.0,24.4,5.0,1.1,8.4,0.9,2,SG,12.05,216,216,1962,1994,2591,206.9,2026,1
79,794,22.2,0.604,0.56,0.153,0.62,10.8,27.3,4.9,1.9,5.4,18.6,21.4,1.6,2.0,2.9,3.7,1,PF,7.3,248,298,2032,2070,2743,247.1,2242,1
80,1258,25.2,0.551,0.524,0.116,0.648,7.1,11.7,32.9,3.6,1.7,17.2,27.6,3.7,1.9,5.1,1.7,3,PG,5.65,222,229,1892,1924,2502,185.4,2032,1
81,1181,32.8,0.644,0.603,0.341,0.329,6.4,17.8,11.5,0.4,0.5,7.9,36.2,6.3,1.4,11.4,-0.5,4,SF,7.1,222,248,1988,2026,2616,218.0,2064,1
82,904,14.6,0.545,0.524,0.444,0.236,2.4,9.5,12.6,2.1,0.8,11.6,20.1,1.4,1.2,1.7,1.2,1,PG,4.7,210,222,1943,1975,2540,180.9,2038,1
83,1238,31.3,0.574,0.548,0.178,0.347,10.8,12.7,8.6,3.1,1.8,9.9,35.5,4.7,1.7,9.2,1.6,2,SF,7.95,222,229,2007,2038,2642,220.2,2089,1
84,870,25.1,0.607,0.565,0.294,0.39,6.8,22.9,10.2,1.0,3.8,13.1,28.9,2.7,1.7,5.5,2.0,4,PF,7.55,235,241,2057,2076,2769,238.5,2235,1
85,1296,16.6,0.536,0.498,0.522,0.393,3.7,11.0,10.8,1.4,0.6,12.3,23.4,3.0,1.7,4.2,1.9,1,SG,5.1,229,241,1962,2000,2642,213.3,2134,1
86,1215,21.3,0.511,0.453,0.236,0.414,2.6,9.0,32.3,3.9,0.7,11.9,21.9,3.2,2.2,4.8,3.9,1,PG,6.2,210,222,1854,1892,2489,181.5,2013,1
87,1131,22.5,0.561,0.518,0.505,0.312,4.0,10.2,16.8,3.4,1.6,10.3,26.8,3.3,2.0,6.6,3.7,2,SG,4.55,216,241,1892,1943,2438,204.8,2000,1
88,1150,20.1,0.59,0.55,0.41,0.328,2.9,11.7,13.2,1.3,0.8,10.2,23.8,3.6,1.2,6.3,0.9,1,SF,7.45,216,216,2013,2045,2616,208.2,2045,1
