player_name,season,school_name,conf_abbr,g,gs,mp,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm,years
Kim English,2011-12,Missouri,Big 12,35,35,1175,20.6,0.658,0.64,0.518,0.366,446.0,3.4,13.0,8.3,8.6,2.3,0.9,13.3,20.0,3.7,1.3,5.0,0.171,5.8,1.3,7.1,4
Justin Hamilton,2009-10,Iowa State,Big 12,31,31,663,18.0,0.643,0.617,0.0,0.583,202.0,13.9,13.4,13.7,2.9,0.7,4.8,16.4,13.6,1.6,0.9,2.5,0.15,,,,3
Justin Hamilton,2011-12,LSU,SEC,33,32,990,22.7,0.553,0.498,0.038,0.428,408.0,11.8,17.2,14.2,7.0,1.5,4.7,12.9,22.6,2.6,1.7,4.3,0.172,3.8,2.1,5.9,3
Darius Miller,2011-12,Kentucky,SEC,40,11,1043,18.1,0.593,0.566,0.493,0.228,384.0,4.3,7.9,6.2,14.4,1.9,1.2,14.8,19.2,2.9,1.6,4.5,0.173,4.5,3.1,7.5,4
Kevin Murphy,2011-12,Tennessee Tech,OVC,33,32,1139,20.8,0.549,0.518,0.353,0.32,608.0,3.3,16.7,9.8,16.3,1.4,0.7,14.8,32.3,2.7,0.9,3.7,0.128,2.8,-2.2,0.6,8
Kyle O'Quinn,2011-12,Norfolk State,MEAC,36,36,1125,28.6,0.616,0.581,0.089,0.626,548.0,12.0,27.9,19.8,10.9,1.3,9.2,17.0,24.9,3.7,2.5,6.2,0.219,3.2,1.8,5.0,8
Kris Joseph,2011-12,Syracuse,Big East,37,37,1192,19.7,0.534,0.486,0.379,0.403,462.0,5.5,11.6,8.6,8.7,2.6,2.2,10.6,22.5,3.0,2.0,5.0,0.168,4.4,2.2,6.6,16
Darius Johnson-Odom,2011-12,Marquette,Big East,34,33,1120,20.1,0.568,0.529,0.426,0.351,551.0,2.3,10.1,6.1,17.7,1.6,0.4,12.7,27.2,3.1,1.5,4.7,0.167,5.3,1.5,6.8,9
Robbie Hummel,2011-12,Purdue,Big Ten,35,35,1128,25.7,0.54,0.495,0.404,0.295,533.0,5.5,24.3,14.0,12.6,1.3,4.2,5.7,26.3,4.2,1.4,5.6,0.197,7.8,1.6,9.4,4
Marcus Denmon,2011-12,Missouri,Big 12,35,35,1212,25.6,0.621,0.574,0.559,0.308,561.0,3.9,15.1,9.6,11.5,2.7,0.1,7.6,23.6,5.2,1.5,6.7,0.221,8.7,1.3,10.0,4
Robert Sacre,2011-12,Gonzaga,WCC,33,33,868,22.3,0.595,0.511,0.009,0.86,370.0,9.9,20.2,15.1,5.7,0.8,5.8,15.7,22.9,2.6,1.6,4.2,0.194,2.4,2.2,4.6,5
Anthony Bennett,2012-13,UNLV,MWC,35,31,950,28.3,0.609,0.58,0.253,0.467,488.0,10.3,24.0,17.1,8.8,1.5,4.6,12.3,27.5,3.5,2.2,5.7,0.238,6.1,2.5,8.6,1
Victor Oladipo,2012-13,Indiana,Big Ten,36,36,1021,28.9,0.671,0.648,0.224,0.428,478.0,11.8,15.1,13.5,15.2,4.6,2.8,18.5,22.2,4.2,2.6,6.7,0.264,8.9,6.2,15.1,3
Otto Porter,2012-13,Georgetown,Big East,31,30,1097,27.3,0.59,0.541,0.291,0.449,477.0,6.7,20.9,13.9,18.5,3.3,3.0,10.0,24.1,4.2,3.0,7.1,0.26,8.2,5.4,13.7,2
Cody Zeller,2012-13,Indiana,Big Ten,36,36,1062,29.8,0.624,0.564,0.006,0.734,567.0,12.3,20.4,16.6,9.5,2.1,4.4,14.5,26.5,4.8,2.5,7.3,0.274,7.2,3.8,11.1,2
Alex Len,2012-13,Maryland,ACC,38,37,1004,24.5,0.57,0.535,0.025,0.472,434.0,13.2,21.0,17.2,7.8,0.5,8.0,13.1,22.8,3.0,2.0,5.0,0.2,3.6,3.2,6.8,2
Nerlens Noel,2012-13,Kentucky,SEC,24,24,765,27.3,0.583,0.59,0.0,0.627,257.0,10.4,23.9,17.4,9.5,3.9,13.2,17.3,17.4,1.6,2.3,3.9,0.206,4.3,7.8,12.1,1
Ben McLemore,2012-13,Kansas,Big 12,37,36,1191,23.2,0.633,0.586,0.435,0.345,530.0,5.0,13.2,9.4,12.6,1.8,2.2,14.2,23.2,4.2,2.3,6.5,0.217,7.2,3.4,10.5,1
Kentavious Caldwell-Pope,2012-13,Georgia,SEC,32,30,1086,27.7,0.579,0.53,0.523,0.393,521.0,4.3,21.3,12.9,16.8,3.8,1.9,11.1,29.2,3.9,2.4,6.2,0.23,8.4,4.1,12.5,2
Trey Burke,2012-13,Michigan,Big Ten,39,39,1378,28.7,0.569,0.53,0.354,0.296,776.0,1.9,9.6,5.7,37.3,2.8,1.5,11.9,28.3,6.7,1.8,8.6,0.249,9.4,3.7,13.1,2
C.J. McCollum,2012-13,Lehigh,Patriot,12,11,372,34.7,0.628,0.58,0.33,0.376,250.0,4.0,15.8,10.0,24.9,2.7,1.2,12.3,37.2,1.9,0.6,2.4,0.261,9.0,0.3,9.3,4
Michael Carter-Williams,2012-13,Syracuse,Big East,40,40,1409,20.9,0.491,0.438,0.302,0.472,580.0,4.0,12.7,8.2,40.1,4.7,1.8,22.2,22.2,2.7,3.5,6.1,0.174,4.0,5.5,9.4,2
Steven Adams,2012-13,Pitt,Big East,32,32,749,23.2,0.555,0.571,0.0,0.4,228.0,15.3,21.0,18.0,5.4,1.9,11.2,14.4,17.7,1.6,1.9,3.5,0.185,4.0,4.2,8.1,1
Kelly Olynyk,2012-13,Gonzaga,WCC,32,27,845,36.2,0.675,0.642,0.088,0.497,516.0,11.8,22.6,17.4,15.1,1.6,5.1,15.4,30.7,4.7,1.9,6.7,0.315,10.4,3.6,13.9,3
Shabazz Muhammad,2012-13,UCLA,Pac-12,32,30,987,21.9,0.528,0.487,0.232,0.395,520.0,9.9,9.3,9.6,5.8,1.3,0.4,8.6,29.8,2.9,0.8,3.7,0.149,5.8,-1.1,4.7,4
Shane Larkin,2012-13,Miami (FL),ACC,36,35,1311,22.6,0.6,0.569,0.445,0.293,537.0,1.6,11.4,6.5,26.1,3.4,0.3,15.9,21.3,4.3,2.3,6.5,0.199,5.2,3.8,9.1,4
Tony Snell,2012-13,New Mexico,MWC,35,35,1093,17.0,0.562,0.516,0.481,0.299,408.0,1.6,8.9,5.2,22.4,1.6,1.9,15.6,22.8,2.1,1.5,3.6,0.133,4.1,2.1,6.2,3
Gorgui Dieng,2012-13,Louisville,Big East,33,32,1026,23.8,0.562,0.534,0.0,0.479,352.0,12.9,23.6,18.1,12.3,2.6,9.4,17.0,17.0,2.5,3.2,5.6,0.219,5.1,6.4,11.5,3
Mason Plumlee,2012-13,Duke,ACC,36,36,1248,26.3,0.628,0.599,0.0,0.688,605.0,9.7,25.1,17.4,11.5,1.7,4.0,17.4,24.5,4.3,2.6,6.9,0.22,5.9,3.6,9.5,4
Solomon Hill,2012-13,Arizona,Pac-12,35,35,1154,20.1,0.579,0.541,0.423,0.359,468.0,6.6,13.9,10.2,16.8,2.1,1.8,16.0,21.4,3.3,1.8,5.1,0.176,5.6,2.7,8.3,4
