player_id,player_name,pos,off_score,def_score,uni_off_score,uni_def_score,ratio_off,ratio_def
mikal-bridges-1,Mikal Bridges,SF,3.2,1.96,3.64,2.06,0.8791208791208791,0.9514563106796116
shai-gilgeous-alexander-1,Shai Gilgeous-Alexander,SG,3.43,1.33,2.66,1.67,1.2894736842105263,0.7964071856287426
miles-bridges-1,Miles Bridges,PF,2.88,1.79,3.05,1.63,0.9442622950819672,1.098159509202454
jerome-robinson-2,Jerome Robinson,SG,1.98,1.28,3.09,0.81,0.6407766990291263,1.5802469135802468
troy-brown-5,Troy Brown,SF,2.35,1.14,2.17,1.72,1.0829493087557605,0.6627906976744186
donte-divincenzo-1,Donte DiVincenzo,SG,2.78,1.85,3.08,1.48,0.9025974025974025,1.25
lonnie-walker-2,Lonnie Walker,SG,2.42,0.92,2.4,1.24,1.0083333333333333,0.7419354838709677
kevin-huerter-1,Kevin Huerter,SG,2.75,1.59,2.93,1.24,0.9385665529010239,1.282258064516129
josh-okogie-1,Josh Okogie,SG,2.45,1.59,2.88,1.62,0.8506944444444445,0.9814814814814815
grayson-allen-1,Grayson Allen,SG,2.8,1.44,2.99,1.51,0.9364548494983276,0.9536423841059603
chandler-hutchison-1,Chandler Hutchison,SF,1.95,1.55,3.09,2.16,0.6310679611650486,0.7175925925925926
aaron-holiday-1,Aaron Holiday,PG,2.38,1.19,3.1,0.99,0.7677419354838709,1.202020202020202
moritz-wagner-1,Moritz Wagner,C,2.64,1.7,3.08,2.19,0.8571428571428572,0.776255707762557
landry-shamet-1,Landry Shamet,SG,2.72,0.86,3.28,0.91,0.8292682926829269,0.945054945054945
robert-williams-3,Robert Williams,C,3.38,3.28,2.34,2.79,1.4444444444444444,1.1756272401433692
jevon-carter-1,Jevon Carter,PG,2.7,1.65,3.11,2.53,0.8681672025723474,0.6521739130434783
jalen-brunson-1,Jalen Brunson,PG,3.14,1.08,3.71,1.16,0.8463611859838275,0.9310344827586208
devonte-graham-1,Devonte' Graham,PG,3.24,1.05,3.27,1.33,0.9908256880733946,0.7894736842105263
gary-trentjr-1,Gary Trent Jr.,SG,2.73,0.92,2.81,1.31,0.9715302491103203,0.7022900763358778
khyri-thomas-1,Khyri Thomas,SG,3.14,1.83,2.98,1.59,1.0536912751677854,1.150943396226415
jarred-vanderbilt-1,Jarred Vanderbilt,PF,2.71,2.57,2.52,1.77,1.0753968253968254,1.4519774011299433
bruce-brown-2,Bruce Brown,PG,2.97,1.83,2.01,1.75,1.4776119402985077,1.0457142857142858
hamidou-diallo-1,Hamidou Diallo,"SF,SG",2.75,1.71,2.1,1.23,1.3095238095238095,1.3902439024390243
deanthony-melton-1,De'Anthony Melton,PG,2.76,2.25,2.24,2.16,1.232142857142857,1.0416666666666665
sviatoslav-mykhailiuk-1,Sviatoslav Mykhailiuk,"SF,SG",2.47,1.4,2.74,1.16,0.9014598540145985,1.206896551724138
keita-bates-diop-1,Keita Bates-Diop,SF,2.36,1.8,3.17,2.28,0.7444794952681387,0.7894736842105264
chimezie-metu-1,Chimezie Metu,C,2.67,1.42,2.69,1.96,0.9925650557620818,0.7244897959183674
alize-johnson-1,Alize Johnson,PF,3.29,1.94,3.05,1.67,1.078688524590164,1.1616766467065869
malik-milton-1,Shake Milton,SG,2.91,1.23,3.11,1.47,0.9356913183279744,0.8367346938775511
kostas-antetokounmpo-1,Kostas Antetokounmpo,PF,1.86,2.34,1.86,1.44,1.0,1.625
royce-white-1,Royce White,,,,2.61,2.18,,
fab-melo-1,Fab Melo,,,,2.09,2.2,,
arnett-moultrie-1,Arnett Moultrie,,,,2.97,1.47,,
tyshawn-taylor-1,Tyshawn Taylor,,,,2.71,1.37,,
doron-lamb-1,Doron Lamb,,,,3.13,0.91,,
kim-english-1,Kim English,,,,3.06,1.28,,
kevin-murphy-1,Kevin Murphy,,,,2.8,0.85,,
kris-joseph-1,Kris Joseph,,,,2.71,1.64,,
darius-johnson-odom-1,Darius Johnson-Odom,,,,2.92,1.08,,
robbie-hummel-1,Robbie Hummel,,,,3.26,1.69,,
marcus-denmon-1,Marcus Denmon,,,,3.57,1.44,,
carrick-felix-1,Carrick Felix,,,,2.75,1.95,,
glen-rice-jr-1,Glen Rice Jr.,,,,2.59,1.86,,
tony-mitchell-4,Tony Mitchell,,,,2.32,2.14,,
grant-jerrett-1,Grant Jerrett,,,,2.23,1.72,,
jamaal-franklin-1,Jamaal Franklin,,,,2.87,2.61,,
pierre-jackson-1,Pierre Jackson,,,,3.65,1.31,,
erick-green-1,Erick Green,,,,3.86,0.92,,
erik-murphy-1,Erik Murphy,,,,3.18,1.95,,
romero-osby-1,Romero Osby,,,,3.34,1.56,,
colton-iverson-1,Colton Iverson,,,,3.25,1.79,,
arsalan-kazemi-1,Arsalan Kazemi,,,,2.75,3.07,,
peyton-siva-1,Peyton Siva,,,,2.12,2.22,,
alex-oriakhi-1,Alex Oriakhi,,,,3.16,1.97,,
deshaun-thomas-1,Deshaun Thomas,,,,3.32,1.23,,
mitch-mcgary-1,Mitch McGary,,,,2.5,2.49,,
jordan-adams-1,Jordan Adams,,,,3.5,2.28,,
pj-hairston-1,P.J. Hairston,,,,3.49,1.54,,
cleanthony-early-1,Cleanthony Early,,,,3.32,1.91,,
jarnell-stokes-1,Jarnell Stokes,,,,3.33,1.95,,
deandre-daniels-1,DeAndre Daniels,,,,2.48,1.88,,
nick-johnson-1,Nick Johnson,,,,3.0,1.96,,
russ-smith-1,Russ Smith,,,,3.34,2.13,,
lamar-patterson-1,Lamar Patterson,,,,3.26,1.84,,
cameron-bairstow-1,Cameron Bairstow,,,,3.53,1.65,,
alec-brown-1,Alec Brown,,,,2.66,1.91,,
semaj-christon-1,Semaj Christon,,,,2.66,1.12,,
roy-devyn-marble-1,Roy Devyn Marble,,,,3.05,1.61,,
xavier-thames-1,Xavier Thames,,,,3.49,1.98,,
cory-jefferson-1,Cory Jefferson,,,,3.07,1.57,,
anthony-brown-5,Anthony Brown,,,,2.85,1.35,,
rakeem-christmas-1,Rakeem Christmas,,,,2.88,2.31,,
olivier-hanlan-1,Olivier Hanlan,,,,3.08,1.03,,
marcus-thornton-3,Marcus Thornton,,,,3.25,0.35,,
dakari-johnson-1,Dakari Johnson,,,,2.72,2.09,,
aaron-white-3,Aaron White,,,,3.67,1.97,,
tyler-harvey-1,Tyler Harvey,,,,3.77,0.56,,
sirdominic-pointer-1,Sir'Dominic Pointer,,,,2.56,2.67,,
cady-lalanne-1,Cady Lalanne,,,,2.32,1.77,,
branden-dawson-1,Branden Dawson,,,,2.4,2.53,,
