season,conference,rating
2013-14,WAC,0.463227
2013-14,OVC,0.461771
2013-14,Atlantic Sun,0.459728
2013-14,Northeast,0.452702
2013-14,Big Sky,0.45002
2013-14,Southland,0.446641
2013-14,Big South,0.445261
2013-14,America East,0.438136
2013-14,Southern,0.435308
2013-14,MEAC,0.42186
2013-14,SWAC,0.421446
2013-14,Independents,0.412262
2014-15,Big 12,0.579399
2014-15,ACC,0.568106
2014-15,Big East,0.565664
2014-15,Big Ten,0.562916
2014-15,Pac-12,0.556551
2014-15,SEC,0.550085
2014-15,A-10,0.5268
2014-15,American,0.521277
2014-15,MVC,0.518608
2014-15,Independents,0.514905
2014-15,WCC,0.514311
2014-15,MAC,0.511804
2014-15,MWC,0.507313
2014-15,Ivy,0.492737
2014-15,Big West,0.492252
2014-15,CUSA,0.491074
2014-15,Horizon,0.48887
2014-15,Patriot,0.485111
2014-15,Sun Belt,0.480782
2014-15,CAA,0.47824
2014-15,Summit,0.474231
2014-15,AAC,0.472705
2014-15,OVC,0.46755
2014-15,Southern,0.462733
2014-15,Big South,0.460922
2014-15,Big Sky,0.460465
2014-15,Northeast,0.458372
2014-15,America East,0.452054
2014-15,Southland,0.45034
2014-15,Atlantic Sun,0.441169
2014-15,WAC,0.431552
2014-15,MEAC,0.42708
2014-15,SWAC,0.41341
2015-16,Big 12,0.584488
2015-16,ACC,0.576093
2015-16,Pac-12,0.570495
2015-16,Big East,0.562282
2015-16,Big Ten,0.550216
2015-16,SEC,0.546743
2015-16,A-10,0.53427
2015-16,American,0.529733
2015-16,CAA,0.518685
2015-16,MAC,0.513856
2015-16,MWC,0.51355
2015-16,Summit,0.508217
2015-16,MVC,0.497442
2015-16,WCC,0.49562
2015-16,Ivy,0.490449
2015-16,Big West,0.489659
2015-16,Sun Belt,0.484639
2015-16,Horizon,0.48049
2015-16,Southern,0.478208
2015-16,AAC,0.475615
2015-16,CUSA,0.472506
2015-16,OVC,0.471997
2015-16,America East,0.466985
2015-16,Patriot,0.464872
2015-16,Big South,0.464161
2015-16,WAC,0.456416
2015-16,Atlantic Sun,0.450062
2015-16,Big Sky,0.449962
2015-16,Northeast,0.436185
2015-16,Southland,0.434928
2015-16,SWAC,0.427281
2015-16,MEAC,0.416961
2016-17,ACC,0.58013
2016-17,Big 12,0.578156
2016-17,Big East,0.567962
2016-17,Big Ten,0.56507
2016-17,SEC,0.557968
2016-17,Pac-12,0.550066
2016-17,American,0.524563
2016-17,A-10,0.522622
2016-17,WCC,0.522021
2016-17,MWC,0.521187
2016-17,CAA,0.504419
2016-17,MVC,0.500603
2016-17,Sun Belt,0.495863
2016-17,MAC,0.492653
2016-17,AAC,0.489703
2016-17,Southern,0.48932
2016-17,WAC,0.488212
2016-17,Horizon,0.486251
2016-17,Summit,0.482938
2016-17,Ivy,0.477492
2016-17,America East,0.473287
2016-17,Patriot,0.472348
2016-17,CUSA,0.468891
2016-17,OVC,0.467349
2016-17,Big South,0.463201
2016-17,Southland,0.457965
2016-17,Atlantic Sun,0.456292
2016-17,Big Sky,0.445653
2016-17,Big West,0.445095
2016-17,Northeast,0.434667
2016-17,SWAC,0.409157
2016-17,MEAC,0.401708
2017-18,Big 12,0.581299
2017-18,Big East,0.574677
2017-18,SEC,0.573721
2017-18,ACC,0.573692
2017-18,Big Ten,0.552393
2017-18,Pac-12,0.550836
2017-18,American,0.5386
2017-18,MVC,0.527264
2017-18,MWC,0.517405
2017-18,MAC,0.509168
2017-18,A-10,0.505994
2017-18,WCC,0.499938
2017-18,CAA,0.499472
2017-18,CUSA,0.48987
2017-18,WAC,0.482982
2017-18,Southern,0.480376
2017-18,Big Sky,0.479899
2017-18,OVC,0.477704
2017-18,Summit,0.476999
2017-18,Sun Belt,0.476152
2017-18,AAC,0.475291
2017-18,Big West,0.473843
2017-18,America East,0.465102
2017-18,Big South,0.461214
2017-18,Ivy,0.458431
2017-18,Horizon,0.458389
2017-18,Patriot,0.45356
2017-18,Northeast,0.4519
2017-18,Southland,0.445657
2017-18,Atlantic Sun,0.443639
2017-18,MEAC,0.408462
2017-18,SWAC,0.403617
2018-19,Big 12,0.587677
2018-19,Big Ten,0.567722
2018-19,ACC,0.566558
2018-19,SEC,0.564811
2018-19,Big East,0.556041
2018-19,American,0.546544
2018-19,Pac-12,0.531114
2018-19,WCC,0.527408
2018-19,MAC,0.522529
2018-19,Ivy,0.513629
2018-19,A-10,0.500323
2018-19,Southern,0.499332
2018-19,CUSA,0.498054
2018-19,MVC,0.495795
2018-19,MWC,0.492994
2018-19,WAC,0.492302
2018-19,Sun Belt,0.490077
2018-19,CAA,0.486591
2018-19,Patriot,0.484627
2018-19,OVC,0.472936
2018-19,Atlantic Sun,0.46927
2018-19,Horizon,0.467177
2018-19,Big South,0.462589
2018-19,Big Sky,0.461592
2018-19,Big West,0.459026
2018-19,America East,0.456796
2018-19,Summit,0.455786
2018-19,Northeast,0.452379
2018-19,AAC,0.447692
2018-19,Southland,0.441168
2018-19,SWAC,0.41321
2018-19,MEAC,0.408226
2019-20,Big East,0.582543
2019-20,Big 12,0.574049
2019-20,Pac-12,0.564744
2019-20,SEC,0.559045
2019-20,Big Ten,0.558758
2019-20,ACC,0.557812
2019-20,American,0.544282
2019-20,A-10,0.538998
2019-20,WCC,0.534459
2019-20,MWC,0.519555
2019-20,MVC,0.518251
2019-20,MAC,0.511804
2019-20,Southern,0.502223
2019-20,Sun Belt,0.495008
2019-20,Ivy,0.488956
2019-20,CAA,0.488513
2019-20,CUSA,0.487844
2019-20,Big Sky,0.485634
2019-20,Patriot,0.475095
2019-20,AAC,0.471588
2019-20,America East,0.470532
2019-20,Summit,0.468824
2019-20,Horizon,0.465349
2019-20,Big West,0.462272
2019-20,Atlantic Sun,0.458009
2019-20,Northeast,0.457086
2019-20,WAC,0.452695
2019-20,Big South,0.452436
2019-20,OVC,0.448447
2019-20,Southland,0.443445
2019-20,SWAC,0.425053
2019-20,MEAC,0.419449
2020-21,Big 12,0.567061
2020-21,Big Ten,0.548362
2020-21,Pac-12,0.546214
2020-21,SEC,0.545838
2020-21,WCC,0.543078
2020-21,Big East,0.535706
2020-21,American,0.531312
2020-21,ACC,0.531009
2020-21,Southern,0.513658
2020-21,MWC,0.503396
2020-21,MVC,0.502227
2020-21,CUSA,0.499772
2020-21,A-10,0.499555
2020-21,Patriot,0.494581
2020-21,Sun Belt,0.491871
2020-21,AAC,0.491437
2020-21,Northeast,0.479903
2020-21,MAC,0.478612
2020-21,CAA,0.475883
2020-21,Big West,0.47382
2020-21,Horizon,0.471539
2020-21,OVC,0.468699
2020-21,America East,0.466101
2020-21,Big Sky,0.46279
2020-21,Big South,0.45242
2020-21,Atlantic Sun,0.451497
2020-21,WAC,0.440749
2020-21,SWAC,0.440374
2020-21,Summit,0.439129
2020-21,Southland,0.437706
2020-21,MEAC,0.350633
2020-21,Ivy,0.0
