player_name,season,school_name,conf_abbr,mp,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm,years,player_id,pos,last_uni_age,position,body_fat_pct,hand_length,hand_width,height_wo_shoes,height_w_shoes,standing_reach,weight,wingspan,ratio_off,ratio_def,conf_rating,gs_pct
Meyers Leonard,2011-12,Illinois,Big Ten,1018,24.1,0.618,0.586,0.038,0.436,409.0,9.1,25.9,17.1,9.9,0.9,6.9,16.2,22.0,2.9,1.8,4.6,0.182,3.6,3.6,7.2,2,meyers-leonard-1,C,19,C,5.7,235,279,2127,2165,2743,249.8,2210,1.02,0.75,0.580496,0.91
Jeremy Lamb,2011-12,UConn,Big East,1266,22.1,0.589,0.556,0.465,0.267,524.0,3.0,12.2,7.7,10.1,2.1,1.7,11.7,23.9,3.9,1.3,5.2,0.165,5.7,2.0,7.8,2,jeremy-lamb-1,SG,19,SG,4.5,222,235,1930,1962,2591,179.2,2108,0.91,1.2,0.568068,1.0
Kendall Marshall,2011-12,UNC,ACC,1189,17.2,0.558,0.529,0.351,0.351,420.0,0.5,7.9,4.2,45.1,2.0,0.5,27.8,13.9,2.6,1.8,4.4,0.147,3.8,2.8,6.6,2,kendall-marshall-1,PG,20,PG,7.8,216,229,1911,1937,2438,198.4,1968,1.17,1.1,0.551874,0.97
John Henson,2011-12,UNC,ACC,1019,24.7,0.505,0.5,0.0,0.329,439.0,9.0,27.1,17.9,8.0,1.1,9.6,8.7,23.1,2.3,2.7,5.0,0.195,4.0,5.0,9.0,3,john-henson-1,C,21,PF,8.6,235,254,2057,2096,2845,216.0,2261,1.14,1.07,0.551874,0.97
Maurice Harkless,2011-12,St. John's (NY),Big East,1155,21.1,0.504,0.472,0.185,0.326,476.0,8.4,20.3,14.0,9.6,2.6,4.2,14.0,24.9,1.8,1.3,3.2,0.109,3.0,1.0,4.0,1,maurice-harkless-1,SF,18,SF,5.3,235,260,2013,2051,2604,206.6,2134,0.96,0.91,0.568068,1.0
Tyler Zeller,2011-12,UNC,ACC,1070,29.9,0.616,0.553,0.0,0.563,580.0,14.1,21.9,17.9,6.3,1.7,5.3,12.6,24.5,4.6,2.5,7.1,0.265,6.8,3.9,10.7,4,tyler-zeller-1,C,22,PF,6.4,229,248,2115,2146,2654,247.4,2134,0.94,0.74,0.551874,1.0
Terrence Jones,2011-12,Kentucky,SEC,1115,24.3,0.547,0.523,0.138,0.446,465.0,10.7,17.5,14.3,8.7,2.7,5.8,12.6,22.4,3.1,2.7,5.8,0.209,5.2,4.9,10.2,2,terrence-jones-1,PF,20,PF,7.7,229,254,2038,2070,2718,252.0,2191,1.05,0.79,0.562488,0.89
Andrew Nicholson,2011-12,St. Bonaventure,A-10,962,31.6,0.638,0.601,0.138,0.429,515.0,11.1,25.1,18.1,9.4,1.3,7.3,14.7,29.5,4.0,1.7,5.8,0.24,7.2,2.1,9.4,4,andrew-nicholson-1,PF,22,PF,7.6,254,273,2045,2070,2718,234.0,2235,0.69,0.48,0.534425,1.0
Jared Sullinger,2011-12,Ohio State,Big Ten,1123,30.2,0.591,0.538,0.091,0.519,610.0,12.4,25.8,18.9,8.6,2.3,4.0,11.5,27.9,4.8,3.0,7.9,0.28,7.5,4.1,11.7,2,jared-sullinger-1,PF,19,PF,10.7,235,248,2026,2057,2680,268.2,2165,0.91,0.75,0.580496,0.97
John Jenkins,2011-12,Vanderbilt,SEC,1177,26.0,0.656,0.62,0.666,0.334,579.0,1.7,9.1,5.4,8.4,1.5,1.0,9.4,26.2,5.4,1.1,6.5,0.223,10.3,1.5,11.8,3,john-jenkins-1,SG,20,SG,7.1,229,229,1911,1937,2489,212.0,2045,0.73,1.25,0.562488,1.0
Jared Cunningham,2011-12,Oregon State,Pac-12,1245,22.1,0.568,0.507,0.336,0.614,609.0,3.4,10.4,6.8,15.7,4.1,1.2,15.2,26.0,3.4,1.6,5.0,0.162,3.4,1.6,5.0,3,jared-cunningham-2,SG,20,SG,3.6,210,229,1918,1956,2489,187.6,1994,0.85,0.52,0.526179,0.97
Tony Wroten,2011-12,Washington,Pac-12,1062,20.4,0.488,0.453,0.125,0.591,579.0,8.0,10.7,9.3,24.5,3.5,1.2,18.7,31.2,1.6,1.6,3.2,0.12,2.5,2.2,4.7,1,tony-wroten-1,PG,18,PG,5.2,203,229,1949,1981,2565,203.2,2057,1.2,0.9,0.526179,0.77
Miles Plumlee,2011-12,Duke,ACC,697,21.8,0.621,0.61,0.0,0.521,247.0,16.6,24.6,20.6,5.1,1.5,4.2,18.7,16.1,1.9,1.2,3.1,0.177,4.1,2.1,6.2,4,miles-plumlee-1,C,23,PF,11.4,235,229,2096,2127,2680,252.4,2153,0.91,1.3,0.551874,0.47
Perry Jones,2011-12,Baylor,Big 12,1013,21.2,0.539,0.514,0.091,0.28,421.0,11.0,19.8,15.4,8.7,1.6,2.1,12.0,23.3,2.7,1.6,4.2,0.167,3.7,1.5,5.2,2,perry-jones-1,SF,20,PF,4.6,235,241,2089,2115,2718,233.8,2178,0.77,0.79,0.564916,1.0
Marquis Teague,2011-12,Kentucky,SEC,1303,13.2,0.491,0.449,0.227,0.338,457.0,1.6,7.1,4.5,25.6,1.7,0.8,21.1,20.2,1.7,1.8,3.5,0.108,0.8,1.4,2.3,1,marquis-teague-1,PG,21,PG,6.3,210,197,1854,1880,2451,179.8,2013,1.11,1.19,0.562488,1.0
Festus Ezeli,2011-12,Vanderbilt,SEC,603,21.0,0.567,0.539,0.0,0.842,254.0,13.0,19.2,16.1,2.9,1.1,9.0,20.1,25.2,1.1,1.0,2.1,0.14,0.4,3.3,3.7,4,festus-ezeli-1,C,23,C,5.5,229,273,2076,2121,2743,264.2,2280,1.23,1.1,0.562488,0.85
Jeffery Taylor,2011-12,Vanderbilt,SEC,1157,23.7,0.58,0.57,0.366,0.369,546.0,8.4,13.3,10.9,12.6,2.4,1.4,13.6,26.4,3.6,1.6,5.2,0.18,6.2,1.8,8.0,4,jeffery-taylor-1,SF,22,SF,4.2,210,248,1981,2013,2578,212.8,1988,0.73,0.71,0.562488,1.0
Bernard James ,2011-12,Florida State,ACC,979,23.3,0.602,0.606,0.0,0.448,359.0,13.6,21.4,17.6,3.6,1.6,9.5,18.9,20.0,2.0,2.3,4.3,0.176,3.6,4.0,7.6,2,bernard-james--1,C,26,PF,5.0,229,235,2051,2083,2756,229.8,2210,1.15,0.79,0.551874,1.0
Jae Crowder,2011-12,Marquette,Big East,1153,28.8,0.598,0.568,0.406,0.372,551.0,7.0,22.6,14.7,13.5,4.3,3.1,7.9,23.4,4.5,3.1,7.6,0.263,8.4,5.4,13.8,2,jae-crowder-1,SF,21,SF,9.0,241,267,1949,1994,2527,241.2,2064,0.79,0.68,0.568068,1.0
Draymond Green,2011-12,Michigan State,Big Ten,1229,26.1,0.542,0.504,0.284,0.367,610.0,8.2,30.7,19.8,24.2,2.7,3.3,16.8,28.2,3.5,3.6,7.1,0.23,6.5,5.6,12.1,4,draymond-green-1,PF,21,PF,11.3,229,241,1975,2019,2667,235.6,2165,0.98,1.11,0.580496,0.97
Orlando Johnson,2011-12,UCSB,Big West,1067,26.0,0.56,0.527,0.357,0.397,569.0,5.8,13.8,9.9,19.0,2.0,2.4,12.2,30.5,4.0,1.2,5.2,0.194,6.5,-0.2,6.3,3,orlando-johnson-1,SG,23,SG,7.0,229,241,1924,1962,2515,223.8,2115,0.62,0.94,0.459584,1.0
Quincy Acy,2011-12,Baylor,Big 12,1130,23.5,0.638,0.582,0.018,0.635,436.0,10.9,20.0,15.5,6.5,1.8,6.6,16.6,19.0,3.5,2.0,5.6,0.198,3.4,3.4,6.9,4,quincy-acy-1,PF,21,PF,7.1,241,279,1994,2026,2705,223.8,2203,0.87,0.64,0.564916,1.0
Quincy Miller,2011-12,Baylor,Big 12,903,19.4,0.541,0.485,0.223,0.369,377.0,7.5,17.5,12.5,11.6,1.7,2.9,15.4,23.9,2.1,1.3,3.5,0.153,3.4,1.9,5.3,1,quincy-miller-1,PF,19,SF,7.8,235,260,2051,2083,2667,218.7,2165,0.92,1.41,0.564916,0.95
Khris Middleton,2011-12,Texas A&M,Big 12,575,18.9,0.486,0.455,0.313,0.211,251.0,5.4,17.1,11.0,20.0,2.1,1.0,13.7,29.7,0.7,0.9,1.6,0.114,4.3,1.9,6.2,3,khris-middleton-1,SF,20,SF,7.8,229,229,2000,2038,2616,216.2,2102,1.22,1.75,0.564916,0.85
Will Barton,2011-12,Memphis,CUSA,1236,26.6,0.587,0.55,0.237,0.396,617.0,7.6,20.2,14.2,17.4,2.4,2.1,12.3,25.8,4.6,2.6,7.2,0.232,6.9,2.8,9.8,2,will-barton-1,SG,21,SG,4.1,229,241,1956,1981,2604,174.4,2076,0.74,0.97,0.525437,0.97
Mike Scott,2011-12,Virginia,ACC,999,30.7,0.62,0.571,0.052,0.45,522.0,9.7,26.2,18.0,10.7,1.4,1.8,12.6,30.9,4.2,2.6,6.8,0.27,7.7,2.6,10.4,5,mike-scott-4,PF,23,PF,10.6,216,229,2013,2051,2642,240.8,2102,0.86,0.57,0.551874,1.0
Justin Hamilton,2011-12,LSU,SEC,990,22.7,0.553,0.498,0.038,0.428,408.0,11.8,17.2,14.2,7.0,1.5,4.7,12.9,22.6,2.6,1.7,4.3,0.172,3.8,2.1,5.9,1,justin-hamilton-2,C,23,C,7.7,232,250,2091,2125,2791,242.7,2213,1.03,0.95,0.562488,0.97
Darius Miller,2011-12,Kentucky,SEC,1043,18.1,0.593,0.566,0.493,0.228,384.0,4.3,7.9,6.2,14.4,1.9,1.2,14.8,19.2,2.9,1.6,4.5,0.173,4.5,3.1,7.5,4,darius-miller-1,SF,21,SF,7.5,216,222,1981,2019,2565,233.4,2057,0.38,0.47,0.562488,0.28
Kyle O'Quinn,2011-12,Norfolk State,MEAC,1125,28.6,0.616,0.581,0.089,0.626,548.0,12.0,27.9,19.8,10.9,1.3,9.2,17.0,24.9,3.7,2.5,6.2,0.219,3.2,1.8,5.0,4,kyle-oquinn-1,PF,21,PF,8.0,241,254,2045,2083,2705,240.8,2254,0.78,0.92,0.432801,1.0
Robert Sacre,2011-12,Gonzaga,WCC,868,22.3,0.595,0.511,0.009,0.86,370.0,9.9,20.2,15.1,5.7,0.8,5.8,15.7,22.9,2.6,1.6,4.2,0.194,2.4,2.2,4.6,5,robert-sacre-1,C,22,C,7.7,232,250,2091,2125,2791,242.7,2213,0.82,0.88,0.510989,1.0
Anthony Bennett,2012-13,UNLV,MWC,950,28.3,0.609,0.58,0.253,0.467,488.0,10.3,24.0,17.1,8.8,1.5,4.6,12.3,27.5,3.5,2.2,5.7,0.238,6.1,2.5,8.6,1,anthony-bennett-1,PF,19,PF,8.2,230,245,2043,2074,2720,233.3,2174,0.78,0.86,0.573017,0.89
Victor Oladipo,2012-13,Indiana,Big Ten,1021,28.9,0.671,0.648,0.224,0.428,478.0,11.8,15.1,13.5,15.2,4.6,2.8,18.5,22.2,4.2,2.6,6.7,0.264,8.9,6.2,15.1,3,victor-oladipo-1,SG,20,SG,6.55,222,235,1911,1937,2553,213.2,2064,0.86,0.85,0.580716,1.0
Otto Porter,2012-13,Georgetown,Big East,1097,27.3,0.59,0.541,0.291,0.449,477.0,6.7,20.9,13.9,18.5,3.3,3.0,10.0,24.1,4.2,3.0,7.1,0.26,8.2,5.4,13.7,2,otto-porter-1,SF,19,SF,6.65,222,235,2019,2045,2680,197.6,2172,0.84,0.81,0.574347,0.97
Cody Zeller,2012-13,Indiana,Big Ten,1062,29.8,0.624,0.564,0.006,0.734,567.0,12.3,20.4,16.6,9.5,2.1,4.4,14.5,26.5,4.8,2.5,7.3,0.274,7.2,3.8,11.1,2,cody-zeller-1,C,20,C,4.75,216,267,2102,2140,2692,230.0,2102,0.83,1.04,0.580716,1.0
Alex Len,2012-13,Maryland,ACC,1004,24.5,0.57,0.535,0.025,0.472,434.0,13.2,21.0,17.2,7.8,0.5,8.0,13.1,22.8,3.0,2.0,5.0,0.2,3.6,3.2,6.8,2,alex-len-1,C,19,C,6.4,229,273,2091,2125,2791,242.7,2222,0.87,0.93,0.559479,0.97
Nerlens Noel,2012-13,Kentucky,SEC,765,27.3,0.583,0.59,0.0,0.627,257.0,10.4,23.9,17.4,9.5,3.9,13.2,17.3,17.4,1.6,2.3,3.9,0.206,4.3,7.8,12.1,1,nerlens-noel-1,C,19,C,4.15,241,254,2083,2127,2794,206.4,2229,1.26,0.83,0.537719,1.0
Ben McLemore,2012-13,Kansas,Big 12,1191,23.2,0.633,0.586,0.435,0.345,530.0,5.0,13.2,9.4,12.6,1.8,2.2,14.2,23.2,4.2,2.3,6.5,0.217,7.2,3.4,10.5,1,ben-mclemore-1,SG,19,SG,5.0,222,241,1918,1949,2553,189.2,2026,0.71,0.71,0.555599,0.97
Kentavious Caldwell-Pope,2012-13,Georgia,SEC,1086,27.7,0.579,0.53,0.523,0.393,521.0,4.3,21.3,12.9,16.8,3.8,1.9,11.1,29.2,3.9,2.4,6.2,0.23,8.4,4.1,12.5,2,kentavious-caldwell-pope-1,SG,19,SG,6.45,216,229,1943,1968,2553,203.6,2032,0.79,0.76,0.537719,0.94
Trey Burke,2012-13,Michigan,Big Ten,1378,28.7,0.569,0.53,0.354,0.296,776.0,1.9,9.6,5.7,37.3,2.8,1.5,11.9,28.3,6.7,1.8,8.6,0.249,9.4,3.7,13.1,2,trey-burke-1,PG,20,PG,6.9,210,222,1822,1861,2477,187.0,1968,0.76,0.67,0.580716,1.0
C.J. McCollum,2012-13,Lehigh,Patriot,372,34.7,0.628,0.58,0.33,0.376,250.0,4.0,15.8,10.0,24.9,2.7,1.2,12.3,37.2,1.9,0.6,2.4,0.261,9.0,0.3,9.3,4,cj-mccollum-1,SG,21,SG,6.4,218,234,1932,1965,2553,202.6,2056,0.94,1.08,0.47666,0.92
Michael Carter-Williams,2012-13,Syracuse,Big East,1409,20.9,0.491,0.438,0.302,0.472,580.0,4.0,12.7,8.2,40.1,4.7,1.8,22.2,22.2,2.7,3.5,6.1,0.174,4.0,5.5,9.4,2,michael-carter-williams-1,PG,21,PG,4.4,191,216,1949,1975,2565,184.4,2013,1.02,0.78,0.574347,1.0
Steven Adams,2012-13,Pitt,Big East,749,23.2,0.555,0.571,0.0,0.4,228.0,15.3,21.0,18.0,5.4,1.9,11.2,14.4,17.7,1.6,1.9,3.5,0.185,4.0,4.2,8.1,1,steven-adams-1,C,19,C,6.65,241,279,2102,2134,2781,254.5,2248,1.27,0.74,0.574347,1.0
Kelly Olynyk,2012-13,Gonzaga,WCC,845,36.2,0.675,0.642,0.088,0.497,516.0,11.8,22.6,17.4,15.1,1.6,5.1,15.4,30.7,4.7,1.9,6.7,0.315,10.4,3.6,13.9,3,kelly-olynyk-1,C,21,PF,6.65,216,254,2102,2134,2743,234.0,2076,0.79,0.97,0.531404,0.84
Shabazz Muhammad,2012-13,UCLA,Pac-12,987,21.9,0.528,0.487,0.232,0.395,520.0,9.9,9.3,9.6,5.8,1.3,0.4,8.6,29.8,2.9,0.8,3.7,0.149,5.8,-1.1,4.7,1,shabazz-muhammad-1,SF,20,SF,9.0,229,254,1949,1988,2654,221.8,2108,1.0,0.84,0.552034,0.94
Shane Larkin,2012-13,Miami (FL),ACC,1311,22.6,0.6,0.569,0.445,0.293,537.0,1.6,11.4,6.5,26.1,3.4,0.3,15.9,21.3,4.3,2.3,6.5,0.199,5.2,3.8,9.1,2,shane-larkin-1,PG,20,PG,3.8,191,222,1784,1816,2273,170.8,1797,0.81,0.87,0.559479,0.97
Tony Snell,2012-13,New Mexico,MWC,1093,17.0,0.562,0.516,0.481,0.299,408.0,1.6,8.9,5.2,22.4,1.6,1.9,15.6,22.8,2.1,1.5,3.6,0.133,4.1,2.1,6.2,3,tony-snell-1,SF,21,SF,4.85,229,241,1981,2013,2680,198.2,2121,0.8,0.95,0.573017,1.0
Gorgui Dieng,2012-13,Louisville,Big East,1026,23.8,0.562,0.534,0.0,0.479,352.0,12.9,23.6,18.1,12.3,2.6,9.4,17.0,17.0,2.5,3.2,5.6,0.219,5.1,6.4,11.5,3,gorgui-dieng-1,C,23,C,5.35,229,254,2076,2102,2832,229.6,2222,1.17,0.8,0.574347,0.97
Mason Plumlee,2012-13,Duke,ACC,1248,26.3,0.628,0.599,0.0,0.688,605.0,9.7,25.1,17.4,11.5,1.7,4.0,17.4,24.5,4.3,2.6,6.9,0.22,5.9,3.6,9.5,4,mason-plumlee-1,C,22,C,6.15,248,241,2115,2146,2743,238.2,2108,0.97,1.09,0.559479,1.0
Solomon Hill,2012-13,Arizona,Pac-12,1154,20.1,0.579,0.541,0.423,0.359,468.0,6.6,13.9,10.2,16.8,2.1,1.8,16.0,21.4,3.3,1.8,5.1,0.176,5.6,2.7,8.3,4,solomon-hill-1,SF,21,SF,7.6,229,267,1968,2007,2616,226.0,2057,0.86,1.21,0.552034,1.0
Tim Hardaway Jr.,2012-13,Michigan,Big Ten,1324,17.7,0.538,0.516,0.424,0.241,505.0,0.8,16.3,8.4,13.0,1.2,1.4,12.2,23.7,2.8,1.7,4.5,0.136,3.6,1.8,5.5,3,tim-hardaway-jr-1,SG,20,SG,6.05,203,235,1943,1988,2565,199.4,2007,1.05,0.92,0.580716,1.0
Reggie Bullock,2012-13,UNC,ACC,1100,23.7,0.625,0.607,0.567,0.205,460.0,6.7,17.2,11.5,16.6,2.2,0.9,9.9,18.5,4.1,1.6,5.7,0.207,8.1,2.9,11.1,3,reggie-bullock-2,SF,21,SG,6.95,216,229,1975,2007,2591,199.8,2051,0.78,0.8,0.559479,1.0
Andre Roberson,2012-13,Colorado,Pac-12,1036,21.9,0.524,0.515,0.211,0.356,348.0,10.6,29.4,20.0,9.4,3.9,4.4,18.7,19.9,1.4,2.9,4.3,0.166,3.3,4.8,8.1,3,andre-roberson-1,SG,21,PF,7.05,222,241,1988,2007,2654,205.8,2108,1.17,0.6,0.552034,0.97
Archie Goodwin,2012-13,Kentucky,SEC,1048,16.9,0.509,0.464,0.179,0.594,467.0,5.6,11.2,8.5,16.8,2.1,1.4,18.1,27.2,1.6,1.5,3.1,0.117,1.0,1.1,2.1,1,archie-goodwin-1,PG,18,SG,4.55,216,229,1924,1962,2591,189.0,2070,1.08,0.8,0.537719,1.0
Allen Crabbe,2012-13,California,Pac-12,1195,22.3,0.568,0.528,0.393,0.297,548.0,3.3,16.0,9.8,16.2,1.9,1.9,13.5,26.6,3.3,1.8,5.1,0.17,6.0,2.4,8.4,3,allen-crabbe-1,SG,20,SG,4.65,210,216,1962,1988,2629,197.4,2115,0.94,0.84,0.552034,1.0
Isaiah Canaan,2012-13,Murray State,OVC,1131,25.2,0.576,0.525,0.509,0.371,650.0,2.0,10.0,5.9,27.6,2.5,0.4,14.3,30.9,4.5,1.3,5.9,0.207,5.8,0.0,5.8,4,isaiah-canaan-1,SG,21,PG,5.9,210,241,1803,1829,2400,188.4,1943,0.8,0.84,0.482268,0.97
Ray McCallum,2012-13,Detroit,Horizon,1208,25.7,0.578,0.539,0.298,0.47,617.0,4.0,14.3,8.7,23.8,3.0,1.8,11.3,24.4,4.7,1.3,6.0,0.2,6.3,1.1,7.3,3,ray-mccallum-2,PG,21,PG,7.3,203,222,1835,1873,2451,191.4,1911,0.66,0.74,0.496183,1.0
Nate Wolters,2012-13,South Dakota State,Summit,1256,32.0,0.604,0.549,0.339,0.461,750.0,3.7,15.4,9.5,34.3,2.8,0.4,11.2,29.8,7.0,1.6,8.5,0.272,8.3,1.3,9.6,4,nate-wolters-1,PG,23,PG,5.5,210,222,1918,1949,2489,196.4,1924,0.43,0.05,0.472844,1.0
Jeff Withey,2012-13,Kansas,Big 12,1144,27.2,0.621,0.583,0.003,0.604,467.0,8.8,22.3,16.1,6.2,1.4,13.7,15.1,21.5,3.4,3.2,6.6,0.231,4.9,6.6,11.5,4,jeff-withey-1,C,22,C,8.65,229,248,2102,2146,2807,221.8,2184,0.93,0.83,0.555599,0.97
Mike Muscala,2012-13,Bucknell,Patriot,1079,35.7,0.575,0.513,0.036,0.509,624.0,11.8,31.1,21.8,18.5,1.0,7.8,9.5,31.6,5.3,3.0,8.3,0.307,8.6,3.9,12.5,4,mike-muscala-1,C,21,C,6.8,216,229,2089,2121,2743,230.2,2159,0.69,0.66,0.47666,1.0
Ryan Kelly,2012-13,Duke,ACC,664,23.5,0.586,0.535,0.392,0.401,286.0,6.9,15.4,11.2,11.0,1.4,5.4,8.4,21.4,2.4,1.1,3.5,0.21,7.2,4.0,11.1,4,ryan-kelly-3,PF,21,PF,14.75,229,254,2076,2127,2794,228.0,2121,0.78,0.93,0.559479,1.0
James Ennis,2012-13,Long Beach State,Big West,1093,25.3,0.616,0.565,0.415,0.407,517.0,6.9,17.0,11.9,14.4,3.1,4.2,18.3,24.9,3.4,1.4,4.7,0.173,5.7,1.4,7.1,2,james-ennis-1,SF,23,SF,4.5,216,222,1975,2007,2654,200.8,2121,0.86,0.95,0.469607,0.97
Lorenzo Brown,2012-13,NC State,ACC,1129,19.9,0.509,0.449,0.228,0.419,500.0,2.4,12.3,7.5,36.7,3.4,1.6,22.2,22.8,2.3,1.3,3.6,0.127,3.5,2.0,5.5,3,lorenzo-brown-1,PG,22,PG,3.95,210,216,1930,1962,2540,189.2,2007,0.97,0.82,0.559479,0.97
Andrew Wiggins,2013-14,Kansas,Big 12,1148,21.4,0.563,0.499,0.299,0.538,564.0,8.4,12.3,10.4,9.2,2.1,3.1,13.1,26.3,3.2,1.7,4.9,0.17,5.7,2.6,8.3,1,andrew-wiggins-1,SF,18,SF,6.6,223,239,1983,2017,2631,215.5,2111,1.04,0.61,0.575894,1.0
Jabari Parker,2013-14,Duke,ACC,1074,28.4,0.558,0.511,0.212,0.429,623.0,11.4,23.1,17.1,8.6,2.1,4.0,11.9,32.7,3.6,1.9,5.5,0.205,6.6,1.0,7.6,1,jabari-parker-1,PF,18,PF,8.2,230,245,2043,2074,2720,233.3,2174,0.96,0.74,0.55628,1.0
Joel Embiid,2013-14,Kansas,Big 12,647,28.2,0.655,0.629,0.029,0.836,307.0,12.7,27.3,20.5,11.5,2.3,11.7,21.6,23.4,1.8,1.7,3.4,0.213,5.0,6.9,11.9,1,joel-embiid-1,C,21,C,7.7,232,250,2091,2125,2791,242.7,2213,1.33,0.94,0.575894,0.71
Aaron Gordon,2013-14,Arizona,Pac-12,1187,20.4,0.503,0.516,0.118,0.471,469.0,10.4,19.3,14.9,13.0,1.8,3.4,10.5,23.2,2.1,3.3,5.4,0.183,3.7,4.7,8.4,1,aaron-gordon-1,SF,18,PF,5.05,222,267,2019,2051,2667,220.1,2127,1.09,0.66,0.566869,1.0
Marcus Smart,2013-14,Oklahoma State,Big 12,1014,26.9,0.552,0.486,0.425,0.648,589.0,5.1,14.9,10.2,30.1,5.0,1.9,14.0,29.2,3.1,2.5,5.6,0.22,6.5,5.5,12.0,2,marcus-smart-1,SG,19,PG,10.55,229,222,1880,1911,2515,227.2,2064,0.79,0.82,0.575894,1.0
Julius Randle,2013-14,Kentucky,SEC,1233,24.5,0.567,0.505,0.046,0.739,599.0,13.3,24.7,19.2,10.0,1.0,2.6,16.1,25.4,3.5,2.4,5.9,0.191,5.4,2.1,7.5,1,julius-randle-1,PF,19,PF,9.4,222,210,2026,2057,2680,249.7,2134,0.95,0.95,0.552704,1.0
Nik Stauskas,2013-14,Michigan,Big Ten,1281,22.7,0.642,0.586,0.528,0.518,594.0,1.6,8.8,5.3,18.8,1.0,0.9,12.0,24.4,5.0,1.1,6.2,0.193,8.4,0.9,9.3,2,nik-stauskas-1,SG,20,SG,12.05,216,216,1962,1994,2591,206.9,2026,0.67,1.5,0.575732,1.0
