player_name,season,school_name,conf_abbr,g,gs,mp,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm,years,year,position,body_fat_pct,hand_length,hand_width,height_wo_shoes,height_w_shoes,standing_reach,weight,wingspan,"('Alex Len', 'weight')","('Markelle Fultz', 'weight')"
Julius Randle,2013-14,Kentucky,SEC,40,40,1233,24.5,0.567,0.505,0.046,0.739,599.0,13.3,24.7,19.2,10.0,1.0,2.6,16.1,25.4,3.5,2.4,5.9,0.191,5.4,2.1,7.5,1,2014-15,PF,9.40,222,210,2026,2057,2680,249.7,2134,0,0
Nik Stauskas,2013-14,Michigan,Big Ten,36,36,1281,22.7,0.642,0.586,0.528,0.518,594.0,1.6,8.8,5.3,18.8,1.0,0.9,12.0,24.4,5.0,1.1,6.2,0.193,8.4,0.9,9.3,2,2014-15,SG,12.05,216,216,1962,1994,2591,206.9,2026,0,0
Noah Vonleh,2013-14,Indiana,Big Ten,30,29,794,22.2,0.604,0.56,0.153,0.62,321.0,10.8,27.3,19.4,4.9,1.9,5.4,18.6,21.4,1.6,2.0,3.6,0.182,2.9,3.7,6.6,1,2014-15,PF,7.30,248,298,2032,2070,2743,247.1,2242,0,0
Elfrid Payton,2013-14,Louisiana,Sun Belt,35,34,1258,25.2,0.551,0.524,0.116,0.648,732.0,7.1,11.7,9.4,32.9,3.6,1.7,17.2,27.6,3.7,1.9,5.6,0.177,5.1,1.7,6.8,3,2014-15,PG,5.65,222,229,1892,1924,2502,185.4,2032,0,0
Doug McDermott,2013-14,Creighton,Big East,35,35,1181,32.8,0.644,0.603,0.341,0.329,788.0,6.4,17.8,12.6,11.5,0.4,0.5,7.9,36.2,6.3,1.4,7.7,0.261,11.4,-0.5,10.9,4,2014-15,SF,7.10,222,248,1988,2026,2616,218.0,2064,0,0
Zach LaVine,2013-14,UCLA,Pac-12,37,1,904,14.6,0.545,0.524,0.444,0.236,324.0,2.4,9.5,6.1,12.6,2.1,0.8,11.6,20.1,1.4,1.2,2.5,0.111,1.7,1.2,2.9,1,2014-15,PG,4.70,210,222,1943,1975,2540,180.9,2038,0,0
T.J. Warren,2013-14,NC State,ACC,35,35,1238,31.3,0.574,0.548,0.178,0.347,775.0,10.8,12.7,11.8,8.6,3.1,1.8,9.9,35.5,4.7,1.7,6.5,0.209,9.2,1.6,10.8,2,2014-15,SF,7.95,222,229,2007,2038,2642,220.2,2089,0,0
Adreian Payne,2013-14,Michigan State,Big Ten,31,28,870,25.1,0.607,0.565,0.294,0.39,443.0,6.8,22.9,15.2,10.2,1.0,3.8,13.1,28.9,2.7,1.7,4.3,0.2,5.5,2.0,7.5,4,2014-15,PF,7.55,235,241,2057,2076,2769,238.5,2235,0,0
James Young,2013-14,Kentucky,SEC,40,39,1296,16.6,0.536,0.498,0.522,0.393,527.0,3.7,11.0,7.5,10.8,1.4,0.6,12.3,23.4,3.0,1.7,4.7,0.145,4.2,1.9,6.1,1,2014-15,SG,5.10,229,241,1962,2000,2642,213.3,2134,0,0
Tyler Ennis,2013-14,Syracuse,ACC,34,34,1215,21.3,0.511,0.453,0.236,0.414,480.0,2.6,9.0,5.7,32.3,3.9,0.7,11.9,21.9,3.2,2.2,5.5,0.18,4.8,3.9,8.7,1,2014-15,PG,6.20,210,222,1854,1892,2489,181.5,2013,0,0
